address,lat,long,zip
0 ( HENWOOD PARK ) 3700 FAIRMT AVENUE,32.7464601,-117.10094,92105
0 ( PARKING LOT ) 13983 MANGO DRIVE,32.9516327,-117.2471731,3146
0 **AMENDED REPORT** 12300 RANCHO BERNARDO ROAD,33.0193008,-117.0651297,92128
0 *AMENDED REPORT* ROAD,32.7413321,-117.0579748,92115
0 01 AVENUE,32.7313820060106,-117.16393503318,0
0 01:30:00 PM ,32.7059013,-117.1295347,92102
0 01ST ,0,0,0
0 01ST AVENUE,32.7313820060106,-117.16393503318,0
0 02ND ,32.6868708,-117.2224941,92118
0 02ND AVENUE,32.7251025,-117.1629703,0
0 03RD AVENUE,32.7335808932146,-117.162060666952,0
0 04TH ,0,0,0
0 04TH AVENUE,32.6505092,-117.0880395,1767
0 05TH ,32.7069012,-117.1607657,92101
0 05TH AVENUE,32.7069012,-117.1607657,92101
0 06-21-20 ,32.7117632,-117.1455576,2810
0 06TH AVENUE,32.7306197,-117.1594089,0
0 06TH AVENUE N/B ON RAMP TO FWY ,32.7508529574915,-117.158491963143,0
0 06TH EX STREET,0,0,0
0 07/27/19 ,32.7053601,-117.1464679,92102
0 07TH ,0,0,0
0 07TH AVENUE,32.7156744,-117.1583393,92101
0 08TH ,0,0,0
0 08TH AVENUE,32.7193702,-117.1574523,92101
0 09TH ,32.716177,-117.1565386,92101
0 09TH AVENUE,32.716177,-117.1565386,92101
0 09TH STREET,32.6883168335453,-117.181344238783,0
0 1-5 SB ,0,0,28018
0 10TH ,0,0,0
0 10TH AVENUE,32.714702,-117.155603,92101
0 10TH STREET,32.6866725421373,-117.181665062897,0
0 111WASHINGTON STREET,32.7497632871772,-117.163415113493,0
0 11TH ,32.7061639,-117.1547973,92113
0 11TH AV AVENUE,32.7061639,-117.1547973,92113
0 11TH AVENUE,32.7061639,-117.1547973,92113
0 11TH AVET ,32.7061639,-117.1547973,92113
0 125 FREEWAY ,32.6822329,-116.990456,0
0 12TH AVENUE,32.7104495,-117.1538517,92101
0 13TH STREET,32.7057052,-117.1527756,92101
0 14TH ,32.705367,-117.1518504,92101
0 14TH STREET,32.705367,-117.1518504,92101
0 15 ,0,0,0
0 1500TH BLOCK OF B STREET,0,0,0
0 15TH STREET,32.7054936,-117.1507115,92101
0 15nb ,0,0,0
0 16TH ,32.7052929,-117.1494606,92113
0 16TH STREET,32.7052929,-117.1494606,92113
0 1700TH BLOCK OF FLORIDA DRIVE,32.7317856,-117.1431839,0
0 17TH STREET,32.7054571,-117.1487922,92101
0 1800TH BLOCK OF JULIAN AVENUE,32.701153,-117.1399082,92113
0 18TH STREET,32.5806625,-117.0948852,92154
0 1900 PARK ,32.725963942661,-117.150493514997,0
0 19TH ,32.7052892,-117.1467102,92102
0 19TH STREET,32.7052892,-117.1467102,92102
0 200 PARK ,32.7076989055841,-117.154884046124,0
0 20TH STREET,32.7058974,-117.1457869,3808
0 21ST STREET,32.7052921,-117.1448894,3802
0 2240 ,0,0,0
0 2250 ,0,0,0
0 22ND STREET,32.7053425,-117.143968,92102
0 22nd ,32.7053425,-117.143968,92102
0 2400TH BLOCK OF 6TH AVENUE,32.7306197,-117.1594089,0
0 24TH STREET,32.7053706,-117.1426155,3904
0 2500 ISLAND ,32.7106021059337,-117.140238019243,0
0 25TH STREET,32.7053485,-117.1402042,92102
0 25th ,32.7053485,-117.1402042,92102
0 26TH ,32.7053926,-117.1382696,92102
0 26TH FLORIDA ,32.7527060429641,-117.144106003793,0
0 26TH STREET,32.7053926,-117.1382696,92102
0 27TH ,32.7054029,-117.1359982,92102
0 27TH STREET,32.7054029,-117.1359982,92102
0 28TH ,32.7051969,-117.1340673,92113
0 28TH STREEET ,32.7051969,-117.1340673,92113
0 28TH STREET,32.7051969,-117.1340673,92113
0 29TH STREET,32.7058703,-117.1320849,92102
0 30TH STREET,32.7059013,-117.1295347,92102
0 3100 ISLAND ,32.7105358574874,-117.126629286647,0
0 31ST ,32.7059112,-117.1273804,4315
0 31ST STREET,32.7059112,-117.1273804,4315
0 32ND ,32.7059278,-117.1252319,92102
0 32ND STREET,32.7059278,-117.1252319,92102
0 32nd STREET,32.7059278,-117.1252319,92102
0 33RD PLACE,32.7055171,-117.1226108,4324
0 33RD STREET,32.7055171,-117.1226108,4324
0 34TH STREET,32.7605625,-117.1206784,0
0 35TH STREET,32.7054586,-117.1187933,1654
0 36TH STREET,32.7532835,-117.1155332,0
0 37TH STREET,32.7515393,-117.1131078,0
0 38TH ,32.7216245,-117.1123505,92105
0 38TH STREET,32.7216245,-117.1123505,92105
0 39TH STREET,32.739926,-117.1107517,0
0 4 AVENUE,32.6505092,-117.0880395,1767
0 400TH BLOCK OF 17TH STREET,0,0,0
0 405038TH STREET,0,0,0
0 40TH STREET,32.7382079,-117.1095333,0
0 41ST STREET,32.7487322,-117.106973,0
0 42ND STREET,32.7384298,-117.1047031,0
0 430054TH STREET,0,0,0
0 43RD STREET,32.7478857,-117.1020656,92105
0 44TH STREET,32.7317161,-117.0997913,0
0 45TH STREET,32.697907,-117.0980447,92113
0 46TH STREET,32.7338522,-117.096192,0
0 47TH ,32.7348141,-117.0934152,0
0 47TH STREET,32.7348141,-117.0934152,0
0 48TH STREET,32.7558419,-117.0911464,0
0 49TH STREET,32.7147354,-117.0899414,0
0 500 HARBOR ,0,0,0
0 500 ISLAND ,32.7104653098739,-117.160140081526,0
0 50TH ,32.7549152,-117.0868589,0
0 50TH STREET,32.7549152,-117.0868589,0
0 51ST ,32.7376776,-117.085114,0
0 51ST STREET,32.7376776,-117.085114,0
0 52ND STREET,32.7425701,-117.080628,0
0 53RD STREET,32.7384195,-117.0813907,92105
0 54TH ,32.7387391,-117.0796781,0
0 54TH FRONTAGE WEST ROAD,32.7347656,-117.0798745,92105
0 54TH PLACE,32.7531447,-117.0782894,0
0 54TH STREET,32.7387391,-117.0796781,0
0 55TH STREET,32.7358066,-117.0773828,92105
0 56TH STREET,32.7584797,-117.0749464,92115
0 58TH STREET,32.7523974,-117.0720483,92115
0 59TH STREET,32.761562,-117.0707768,92115
0 60TH STREET,32.7567046,-117.0686135,92115
0 6229 ,0,0,0
0 62ND STREET,32.7628899,-117.0645377,92115
0 63RD ,32.7651784,-117.0630496,92115
0 63RD STREET,32.7651784,-117.0630496,92115
0 65TH STREET,32.71049,-117.0579967,92114
0 67TH STREET,32.7122671,-117.0542355,92114
0 68TH STREET,32.7098815,-117.0509625,92114
0 69TH STREET,32.7706422,-117.0493448,92115
0 6TBH AVENUE,32.7306197,-117.1594089,0
0 700 ISLAND ,32.7105352473884,-117.158346576809,0
0 700BOUNDARY STREET,32.7127156,-117.1106584,92102
