,original_cause,abbreviate_cause
0,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,violation of vehicle code
1,TURNING MOVEMENTS AND REQUIRED SIGNALS,unsafe turn
2,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),unsafe turn
3,UNSAFE SPEED (BASIC SPEED LAW) (I),speed violation
4,"VIOLATION OF BASIC SPEED LAW, SPEED UNSAFE FOR CONDITIONS",speed violation
5,STARTING PARKED VEHICLES OR BACKING,parking related
6,UNSAFE START ON HWY (I),highway
7,HIT AND RUN:PROP DAMAGE (M),hit and run
8,SIGNAL LIGHTS:CIRCULAR RED (I),signal violation
9,DUI ALCOHOL (M),alcohol
10,"RED OR STOP,VEHICLES STOP AT LIMIT LINE",stop violation
11,FOLLOWING TOO CLOSELY,proper distance
12,FOLLOWING TOO CLOSELY (I),proper distance
13,LEFT TURN YIELD UNTIL SAFE OR U-TURN,unsafe turn
14,UNSAFE TURNING MOVEMENT (I),unsafe turn
15,YIELD RIGHT OF WAY TO PEDESTRIANS,pedestrian
16,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,highway
17,RIGHT-OF-WAY:MAKING LEFT OR U-TURN (I),unsafe turn
18,RIGHT-OF-WAY:DRVR YIELD TO PEDESTRIAN IN CROSSWALK (I),pedestrian
19,"ENTRANCE FROM STOP THROUGH HIGHWAY,YIELD UNTIL REASONABLY SAFE",highway
20,RIGHT-OF-WAY:ENTERING HWY (I),highway
21,LANE USAGE:UNSAFE LANE CHANGE (I),lane change
22,FAILED TO STOP FOR STOP SIGN (I),stop violation
23,RIGHT-OF-WAY:FROM STOP INTERSECTION (I),stop violation
24,STOP REQUIREMENTS STATE STOP LINE,stop violation
25,HIT AND RUN:RUNAWAY VEH:PROP DAMAGE (M),hit and run
26,RIGHT-OF-WAY:PED NOT IN CROSSWALK YIELD TO VEHS (I),pedestrian not in crosswalk
27,LANED ROADWAYS - STRADDLING OR UNSAFE CHANGING,lane change
28,PEDESTRIANS OUTSIDE CROSSWALKS,pedestrian not in crosswalk
29,HIT AND RUN,hit and run
30,"PEDESTRIAN NOT TO SUDDENLY ENTER PATH, ETC",pedestrian
